x,y,z
-0.2796675891683466,-0.002788399897273439,-1.9120940899759518
-0.28326120072709515,-0.00284217874905567,-1.9240779508525545
-0.2868772259131971,-0.0028966378626125062,-1.9360550606965214
-0.2905156516561988,-0.0029517813318520455,-1.9480253776072949
-0.2941764648077682,-0.003007613246746723,-1.9599888597094244
-0.29785965214174304,-0.003064137693319729,-1.9719454651527157
-0.3015652003541763,-0.0031213587536331614,-1.9838951521123676
-0.305293096063387,-0.003179280505772634,-1.995837878789113
-0.3090433258100072,-0.003237907023837689,-2.0077736034093623
-0.31281587605703204,-0.003297242377926025,-2.0197022842253434
-0.31661073318986577,-0.003357290634121652,-2.0316238795152395
-0.32042788351637447,-0.0034180558544821896,-2.043538347583338
-0.32426731326693403,-0.003479542097026421,-2.0554456467601625
-0.32812900859447724,-0.0035417534157196097,-2.067345735402618
-0.33201295557454946,-0.0036046938604627444,-2.0792385718941335
-0.33591914020535335,-0.0036683674770788604,-2.0911241146447956
-0.33984754840780196,-0.003732778307299676,-2.103002322091498
-0.3437981660255698,-0.0037979303887536696,-2.114873152698074
-0.3477709788251414,-0.003863827754953196,-2.1267365649554395
-0.3517659724958659,-0.0039304744352824505,-2.1385925173817393
-0.3557831326500057,-0.003997874454982029,-2.150440968522473
-0.35982244482278974,-0.0040660318351389176,-2.1622818769506504
-0.36388389447246405,-0.004134950592674013,-2.174115201266923
-0.3679674669803456,-0.0042046347403273026,-2.1859409000997236
-0.3720731476508741,-0.004275088286646308,-2.1977589321054083
-0.3762009217116647,-0.004346315235974661,-2.2095692559683995
-0.3803507743135595,-0.00441831958843792,-2.2213718304013157
-0.384522690530685,-0.004491105339931162,-2.2331666141451216
-0.3887166553605004,-0.004564676482106593,-2.2449535659692614
-0.3929326537238544,-0.004639037002361666,-2.2567326446718012
-0.3971706704650392,-0.0047141908838261495,-2.268503809079563
-0.4014306903518427,-0.00479014210534979,-2.280267018048269
-0.4057126980756059,-0.00486689464148896,-2.2920222304626816
-0.4100166782512754,-0.004944452462495274,-2.303769405236735
-0.41434261541745776,-0.005022819534302339,-2.315508501313682
-0.41869049403647846,-0.005101999818515066,-2.327239477666228
-0.4230602984944342,-0.005181997272393261,-2.338962293296672
-0.42745201310124786,-0.005262815848845205,-2.350676907237043
-0.431865622090728,-0.005344459496409213,-2.362383278549239
-0.4363011096206223,-0.0054269321592469305,-2.3740813663251688
-0.44075845977267414,-0.0055102377771262655,-2.3857711296868818
-0.4452376565526829,-0.0055943802854117345,-2.3974525277867182
-0.44973868389055494,-0.005679363615051093,-2.4091255198074357
-0.45426152564036504,-0.005765191692563888,-2.4207900649623526
-0.45880616558041365,-0.005851868440029391,-2.4324461224954876
-0.4633725874132836,-0.005939397775073043,-2.4440936516816922
-0.4679607747658979,-0.006027783610855747,-2.4557326118267917
-0.47257071118957894,-0.00611702985606065,-2.4673629622677247
-0.4772023801601054,-0.006207140414881765,-2.478984662372675
-0.4818557650777741,-0.006298119187010576,-2.4905976715412126
-0.48653084926745527,-0.006389970067625811,-2.502201949204431
-0.49122761597865416,-0.0064826969473812165,-2.5137974548250837
-0.49594604838556844,-0.006576303712390564,-2.5253841478977184
-0.5006861295871516,-0.006670794244219515,-2.536961987948821
-0.5054478426071679,-0.0067661724198709765,-2.5485309345369442
-0.510231170394258,-0.006862442111774151,-2.560090947252849
-0.515036095821995,-0.006959607187772715,-2.5716419857196398
-0.5198626016889473,-0.007057671511110624,-2.583184009592904
-0.5247106707187381,-0.007156638940425059,-2.594716978560841
-0.5295802855601102,-0.0072565133297297,-2.606240852344406
-0.5344714287869812,-0.007357298528405273,-2.617755590697442
-0.5393840828985125,-0.007458998381186282,-2.6292611534068193
-0.5443182303191642,-0.007561616728150341,-2.6407575002925663
-0.5492738533987643,-0.007665157404706525,-2.6522445912080106
-0.5542509344125641,-0.007769624241583332,-2.6637223860399097
-0.5592494555613065,-0.007875021064814173,-2.6751908447085935
-0.5642693989712861,-0.007981351695729826,-2.68664992716809
-0.5693107466944125,-0.0080886199509456,-2.6980995934062704
-0.5743734807082744,-0.00819682964234614,-2.7095398034449794
-0.5794575829162043,-0.008305984577079432,-2.7209705173401706
-0.5845630351473389,-0.008416088557540924,-2.7323916951820424
-0.5896898191566876,-0.008527145381361952,-2.743803297095172
-0.5948379166251923,-0.008639158841399807,-2.755205283238652
-0.6000073091597975,-0.008752132725726839,-2.7665976138062254
-0.6051979782935104,-0.008866070817617306,-2.777980249026414
-0.6104099054854686,-0.008980976895533172,-2.7893531491626637
-0.6156430721210034,-0.009096854733119558,-2.8007162745134675
-0.6208974595117083,-0.009213708099187017,-2.8120695854125097
-0.6261730488955025,-0.0093315407577029,-2.823413042228793
-0.6314698214366972,-0.009450356467776042,-2.8347466053667754
-0.6367877582260638,-0.009570158983652582,-2.846070235266504
-0.6421268402808981,-0.009690952054697935,-2.8573838924037487
-0.6474870485450889,-0.009812739425389006,-2.868687537290136
-0.6528683638891832,-0.00993552483529959,-2.879981130473281
-0.6582707671104575,-0.01005931201909319,-2.8912646325369247
-0.6636942389329775,-0.010184104706506675,-2.902538004101059
-0.6691387600076759,-0.010309906622344826,-2.9138012058220735
-0.6746043109124129,-0.01043672148646237,-2.9250541983928766
-0.6800908721520473,-0.01056455301375933,-2.9362969425430325
-0.685598424158505,-0.010693404914164054,-2.947529399038894
-0.6911269472908473,-0.010823280892625402,-2.958751528683737
-0.6966764218353398,-0.010954184649101879,-2.969963292317891
-0.7022468280055225,-0.011086119878546772,-2.9811646508188705
-0.7078381459422781,-0.011219090270901427,-2.9923555651015104
-0.7134503557139027,-0.011353099511081627,-3.003535996118098
-0.7190834373161753,-0.01148815127896602,-3.0147059048585008
-0.7247373706724269,-0.011624249249386381,-3.025865252350304
-0.7304121356336137,-0.011761397092114708,-3.0370139996589383
-0.7361077119783851,-0.011899598471857157,-3.048152107887816
-0.7418240794131562,-0.012038857048233337,-3.0592795381784574
-0.7475612175721777,-0.012179176475776533,-3.0703962517106267
-0.7533191060176093,-0.012320560403915307,-3.0815022097024585
-0.7590977242395864,-0.012463012476964143,-3.092597373410595
-0.7648970516563016,-0.012606536334114408,-3.1036817041303135
-0.7707170676140653,-0.012751135609419702,-3.1147551631956576
-0.7765577513873848,-0.012896813931787389,-3.1258177119795687
-0.782419082179038,-0.01304357492497123,-3.1368693118940176
-0.788301039120141,-0.013191422207552275,-3.1479099243901323
-0.7942036012702253,-0.013340359392934655,-3.1589395109583305
-0.800126747617309,-0.013490390089330421,-3.169958033128453
-0.8060704570779709,-0.013641517899753867,-3.180965452469885
-0.8120347084974258,-0.013793746422006464,-3.1919617305916974
-0.8180194806495948,-0.013947079248668576,-3.2029468291427667
-0.8240247522371849,-0.014101519967085812,-3.213920709811914
-0.8300505018917567,-0.014257072159360574,-3.2248833343280254
-0.8360967081738058,-0.014413739402341117,-3.23583466446019
-0.8421633495728333,-0.014571525267611294,-3.2467746620178226
-0.8482504045074214,-0.014730433321478562,-3.257703288850797
-0.8543578513253132,-0.014890467124964054,-3.2686205068495764
-0.8604856683034806,-0.015051630233789965,-3.279526277945338
-0.8666338336482088,-0.015213926198375633,-3.290420564110104
-0.8728023254951632,-0.015377358563820429,-3.3013033273568713
-0.8789911219094748,-0.015541930869890972,-3.312174529739738
-0.885200200885812,-0.01570764665102112,-3.323034133354037
-0.8914295403484541,-0.015874509436290866,-3.333882100336455
-0.8976791181513795,-0.01604252274942188,-3.3447183928651727
-0.9039489120783294,-0.01621169010876528,-3.355542973159981
-0.9102388998428934,-0.016382015027292616,-3.366355803482418
-0.9165490590885861,-0.01655350101257964,-3.37715684613589
-0.9228793673889254,-0.016726151566804928,-3.3879460634658085
-0.9292298022475072,-0.016899970186732918,-3.3987234178597068
-0.93560034109809,-0.017074960363706117,-3.4094888717473735
-0.9419909613046651,-0.017251125583635563,-3.4202423876009784
-0.9484016401615452,-0.017428469326985618,-3.4309839279352032
-0.9548323548934353,-0.017606995068772863,-3.4417134553073603
-0.9612830826555179,-0.01778670627854525,-3.452430932317528
-0.9677538005335276,-0.017967606420381334,-3.463136321608673
-0.9742444855438364,-0.0181496989528721,-3.4738295858667785
-0.980755114633528,-0.01833298732911719,-3.484510687820969
-0.9872856646804831,-0.018517474996711185,-3.495179590243637
-0.9938361124934564,-0.018703165397733063,-3.505836255950571
-1.0004064348121593,-0.018890061968740185,-3.5164806478010813
-1.00699660830734,-0.019078168140752163,-3.5271127286981216
-1.0136066095808656,-0.019267487339247994,-3.5377324615884214
-1.0202364151658003,-0.01945802298414924,-3.5483398094626057
-1.0268860015264936,-0.019649778489812888,-3.5589347353553236
-1.033555345058654,-0.01984275726502375,-3.569517202345375
-1.0402444220894393,-0.02003696271298047,-3.5800871735558286
-1.0469532088775317,-0.020232398231286836,-3.5906446121541564
-1.0536816816132246,-0.020429067211941578,-3.601189481352355
-1.060429816418507,-0.020626973041333135,-3.611721744407065
-1.0671975893471386,-0.020826119100221373,-3.6222413646197023
-1.0739849763847436,-0.021026508763733475,-3.6327483053365803
-1.080791953448886,-0.02122814540135344,-3.6432425299490347
-1.087618496389156,-0.021431032376914204,-3.6537240018935453
-1.0944645809872562,-0.02163517304858093,-3.6641926846518653
-1.101330182957082,-0.02184057076884986,-3.6746485417511354
-1.1082152779448085,-0.022047228884530083,-3.68509153676402
-1.1151198415289758,-0.02225515073674146,-3.695521633308821
-1.1220438492205682,-0.022464339660899665,-3.7059387950496054
-1.128987276463106,-0.022674798986710536,-3.716342985696327
-1.1359500986327296,-0.022886532038155532,-3.7267341690049505
-1.1429322910382802,-0.023099542133487277,-3.7371123087775766
-1.1499338289213912,-0.023313832585219574,-3.747477368862558
-1.156954687456572,-0.02352940670011189,-3.757829313154629
-1.1639948417512904,-0.023746267779165737,-3.7681681055950254
-1.1710542668460695,-0.023964419117615064,-3.778493710171606
-1.17813293771456,-0.024183864004911754,-3.7888060909189756
-1.1852308292636378,-0.024404605724721126,-3.7991052119186075
-1.1923479163334887,-0.024626647554912784,-3.8093910372989637
-1.199484173697694,-0.024849992767545365,-3.81966353123562
-1.206639576063317,-0.025074644628863392,-3.829922657951382
-1.2138140980709944,-0.025300606399285972,-3.840168381716413
-1.2210077142950224,-0.025527881333393707,-3.850400666848352
-1.2282203992434413,-0.025756472679928026,-3.8606194777124303
-1.2354521273581323,-0.02598638368177221,-3.8708247787216026
-1.2427028730148972,-0.02621761757594767,-3.881016534336658
-1.2499726105235542,-0.026450177593602964,-3.8911947090663492
-1.2572613141280191,-0.026684066960006705,-3.9013592674675044
